,url,timestamp,pageType,year,month,day
112,http://www.predpol.com/agence-france-presse-features-predpol/,0,blog,0,0,0
113,http://www.predpol.com/predicting-crime-successes-are-already-being-seen/,0,blog,0,0,0
131,http://www.predpol.com/norcross-pd-fighting-crime-by-predicting-it-with-predpol/,0,blog,0,0,0
136,http://www.predpol.com/predpol-scores-high-marks-on-security-tests/,0,blog,0,0,0
139,http://www.predpol.com/predpol-at-iaca-training-conference/,0,blog,0,0,0
148,http://www.predpol.com/predpol-algorithm-credited-for-reduced-crime/,0,blog,0,0,0
149,http://www.predpol.com/norcross-police-have-big-first-day-with-predpol/,0,blog,0,0,0
153,http://www.predpol.com/kuam-guam-notes-predpols-role-in-crime-reduction/,0,blog,0,0,0
161,http://www.predpol.com/predpol-featured-on-the-legal-talk-network/,0,blog,0,0,0
173,http://www.predpol.com/santa-cruz-police-join-international-predpol-day-of-action/,0,blog,0,0,0
105,http://www.predpol.com/governing-magazine-features-santa-cruz-police-and-predpol/,20131112123345,blog,2013,11,12
114,http://www.predpol.com/seattle-police-expand-predpols-technology-citywide/,20130726011238,blog,2013,7,26
115,http://www.predpol.com/predpol-honored-at-city-of-santa-cruz-ceremony/,20130728142332,blog,2013,7,28
116,http://www.predpol.com/computerworld-magazine-highlights-predpol-successes/,20131112131515,blog,2013,11,12
119,http://www.predpol.com/wall-street-journal-features-predpol-arrests-made-during-ride-along/,20131112131635,blog,2013,11,12
121,http://www.predpol.com/predpol-launches-first-of-its-kind-technology-to-predict-gun-violence/,20130728142337,blog,2013,7,28
122,http://www.predpol.com/national-public-radio-features-seattle-polices-predpol-deployment/,20130921211427,blog,2013,9,21
125,http://www.predpol.com/predictive-policing-showing-early-success-in-kent-england/,20130305064318,blog,2013,3,5
126,http://www.predpol.com/predictive-policing-in-santa-cruz-leads-to-19-percent-drop-in-burglaries/,20131112122158,blog,2013,11,12
132,http://www.predpol.com/piedmont-california-civic-organization-highlights-predpol/,20130728141942,blog,2013,7,28
134,http://www.predpol.com/predpol-featured-on-cnn-2/,20131110011619,blog,2013,11,10
