,Unnamed: 0,url,timestamp,pageType,year,month,day,title,extractedPublicationDate,statusForProject
0,0,http://www.predpol.com/predictive-policing-definition/,20150424052949,blog,2015,4,24,predictive-policing-definition,2015-03-23,InScope
1,1,http://www.predpol.com/predictive-policing-results/,20150822102036,blog,2015,8,22,predictive-policing-results,2015-06-24,InScope
2,2,http://www.predpol.com/kent-police-use-predpol-to-prevent-violent-crime/,20210726005531,blog,2021,7,26,kent-police-use-predpol-to-prevent-violent-crime,,NotInScope
3,3,http://www.predpol.com/5-common-myths-predictive-policing-predpol/,20141015105600,blog,2014,10,15,5-common-myths-predictive-policing-predpol,2014-10-12,InScope
4,4,http://www.predpol.com/atlanta-mayor-highlights-predpol-wsj/,20141020113104,blog,2014,10,20,atlanta-mayor-highlights-predpol-wsj,2014-07-08,InScope
5,5,http://www.predpol.com/predpol-featured-on-nbc-chicago/,20141104121742,blog,2014,11,4,predpol-featured-on-nbc-chicago,2013-11-14,InScope
6,6,http://www.predpol.com/predpol-atlanta/,20141016060005,blog,2014,10,16,predpol-atlanta,2014-09-30,InScope
7,7,http://www.predpol.com/predpol-partner-elgin-police-finalists-iacp-award/,20141015013506,blog,2014,10,15,predpol-partner-elgin-police-finalists-iacp-award,2014-07-25,InScope
8,8,http://www.predpol.com/weve-heard-you/,20150929050603,blog,2015,9,29,weve-heard-you,2015-08-25,InScope
9,9,http://www.predpol.com/predpol-is-not-minority-report/,20141015202943,blog,2014,10,15,predpol-is-not-minority-report,2014-08-15,InScope
10,10,http://www.predpol.com/law-enforcement-technology-innovation-atlanta/,20141016055909,blog,2014,10,16,law-enforcement-technology-innovation-atlanta,2014-07-22,InScope
11,11,http://www.predpol.com/crime-displacement-predpol/,20150125102314,blog,2015,1,25,crime-displacement-predpol,2014-12-03,InScope
12,12,http://www.predpol.com/reductions-in-crime/,20141128045753,blog,2014,11,28,reductions-in-crime,2014-11-06,InScope
13,13,http://www.predpol.com/predictive-policing-in-modesto/,20141208160503,blog,2014,12,8,predictive-policing-in-modesto,2014-11-13,InScope
14,14,http://www.predpol.com/carlsbad-police-joins-predpol-family/,20210726013442,blog,2021,7,26,carlsbad-police-joins-predpol-family,,NotInScope
15,15,http://www.predpol.com/predpol-honored-present-noble-conference/,20141020094247,blog,2014,10,20,predpol-honored-present-noble-conference,2014-07-13,InScope
16,16,http://www.predpol.com/predpol-in-reading-pa-results/,20150125213059,blog,2015,1,25,predpol-in-reading-pa-results,2014-12-18,InScope
17,17,blog.predpol.com/are-you-holding-your-officers-accountable,20190418152832,blog,2019,4,18,are-you-holding-your-officers-accountable,2018-12-04,InScope
18,18,blog.predpol.com/predpol-partners-lapd-foothill-records-day-without-crime,20201031162523,blog,2020,10,31,predpol-partners-lapd-foothill-records-day-without-crime,2014-02-22,InScope
19,19,blog.predpol.com/reductions-in-crime,20201031160512,blog,2020,10,31,reductions-in-crime,2014-11-06,InScope
20,20,blog.predpol.com/law-enforcement-technology-innovation-atlanta,20201031171535,blog,2020,10,31,law-enforcement-technology-innovation-atlanta,2014-07-22,InScope
21,21,blog.predpol.com/alhambra-police-see-double-digit-crime-declines-with-predpol,20210926004222,blog,2021,9,26,alhambra-police-see-double-digit-crime-declines-with-predpol,2013-05-15,InScope
22,22,blog.predpol.com/april-feature-spotlight-missions,20210507011909,blog,2021,5,7,april-feature-spotlight-missions,2018-04-11,InScope
23,23,blog.predpol.com/predictive-analytics-beyond-policing,20170726111846,blog,2017,7,26,predictive-analytics-beyond-policing,2017-07-21,InScope
24,24,blog.predpol.com/predpol-and-community-policing,20200308164813,blog,2020,3,8,predpol-and-community-policing,2020-03-03,InScope
25,25,blog.predpol.com/october-feature-spotlight-crime-audit-report,20191107164224,blog,2019,11,7,october-feature-spotlight-crime-audit-report,2018-10-03,InScope
26,26,blog.predpol.com/feature-spotlight-new-patrol-heat-map,20200222174719,blog,2020,2,22,feature-spotlight-new-patrol-heat-map,2020-01-27,InScope
27,27,blog.predpol.com/august-feature-spotlight-daily-patrols-report,20181028095523,blog,2018,10,28,august-feature-spotlight-daily-patrols-report,2018-08-08,InScope
28,28,blog.predpol.com/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms,20181028095843,blog,2018,10,28,the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms,2018-05-23,InScope
29,29,blog.predpol.com/so-you-think-you-can-build-your-own-predictive-policing-platform,20181216213051,blog,2018,12,16,so-you-think-you-can-build-your-own-predictive-policing-platform,2018-11-28,InScope
30,30,blog.predpol.com/lapd-pacific-div-creatively-deploys-predpol,20201031171651,blog,2020,10,31,lapd-pacific-div-creatively-deploys-predpol,2014-05-17,InScope
31,31,blog.predpol.com/predpol-named-to-govtech100-list-for-4th-straight-year,20190419052437,blog,2019,4,19,predpol-named-to-govtech100-list-for-4th-straight-year,2019-01-08,InScope
32,32,blog.predpol.com/lapd-predicting-crime-with-predpol-kqed-california-report,20201031165303,blog,2020,10,31,lapd-predicting-crime-with-predpol-kqed-california-report,2013-09-08,InScope
33,33,blog.predpol.com/predpols-newest-features-analytics-reporting-more,20181028095421,blog,2018,10,28,predpols-newest-features-analytics-reporting-more,2018-04-20,InScope
34,34,blog.predpol.com/weve-heard-you,20210926005419,blog,2021,9,26,weve-heard-you,2015-08-25,InScope
35,35,blog.predpol.com/predpol-chief-scientist-jeff-brantingham-presents-at-iaca-2017,20230609053824,blog,2023,6,9,predpol-chief-scientist-jeff-brantingham-presents-at-iaca-2017,2017-08-31,InScope
36,36,blog.predpol.com/newest-predpol-features-improve-insight-save-time-maximize-resources,20230609041521,blog,2023,6,9,newest-predpol-features-improve-insight-save-time-maximize-resources,2018-01-10,InScope
37,37,blog.predpol.com/attacking-the-opioid-overdose-epidemic-one-prediction-at-a-time,20181028095405,blog,2018,10,28,attacking-the-opioid-overdose-epidemic-one-prediction-at-a-time,2018-08-16,InScope
38,38,blog.predpol.com/new-feature-spotlight-patrol-status,20191025182807,blog,2019,10,25,new-feature-spotlight-patrol-status,2019-05-07,InScope
39,39,blog.predpol.com/may-feature-spotlight-search-crimes,20181028095416,blog,2018,10,28,may-feature-spotlight-search-crimes,2018-05-15,InScope
40,40,blog.predpol.com/new-feature-spotlight-points-of-interest-pois,20200713043812,blog,2020,7,13,new-feature-spotlight-points-of-interest-pois,2020-07-08,NotInScope
41,41,blog.predpol.com/caliber-is-excited-to-announce-its-partnership-with-predpol-inc,20190109015521,blog,2019,1,9,caliber-is-excited-to-announce-its-partnership-with-predpol-inc,2018-10-25,InScope
42,42,blog.predpol.com/you-cant-manage-what-youre-not-measuring,20210507010107,blog,2021,5,7,you-cant-manage-what-youre-not-measuring,2018-03-01,InScope
43,43,blog.predpol.com/whatispredpol,20170724202108,blog,2017,7,24,whatispredpol,2015-11-19,InScope
44,44,blog.predpol.com/preventing-crime-vs.-preventing-criminality,20201031160234,blog,2020,10,31,preventing-crime-vs.-preventing-criminality,2018-02-07,InScope
