,url,timestamp,pageType,year,month,day
0,http://www.predpol.com/governing-magazine-features-santa-cruz-police-and-predpol/,20131112123345,blog,2013,11,12
1,http://www.predpol.com/alhambra-police-see-double-digit-crime-declines-with-predpol/,20210726021315,blog,2021,07,26
2,http://www.predpol.com/santa-cruz-pds-predpol-adds-tool-for-cops-neighbors/,20160310110608,blog,2016,03,10
3,http://www.predpol.com/lapd-division-credits-predpol-for-no-crime-day/,20140320165941,blog,2014,03,20
4,http://www.predpol.com/predictive-policing-software-featured-in-govtech-magazine/,20210923104916,blog,2021,09,23
5,http://www.predpol.com/predpol-on-cover-of-law-enforcement-technology-magazine/,20140220120227,blog,2014,02,20
6,http://www.predpol.com/harvard-data-smart-city-solutions-features-predpol/,20210923113014,blog,2021,09,23
7,http://www.predpol.com/agence-france-presse-features-predpol/,0000000000,blog,0000,00,00
8,http://www.predpol.com/predicting-crime-successes-are-already-being-seen/,0000000000,blog,0000,00,00
9,http://www.predpol.com/seattle-police-expand-predpols-technology-citywide/,20130726011238,blog,2013,07,26
10,http://www.predpol.com/predpol-honored-at-city-of-santa-cruz-ceremony/,20130728142332,blog,2013,07,28
11,http://www.predpol.com/computerworld-magazine-highlights-predpol-successes/,20131112131515,blog,2013,11,12
12,http://www.predpol.com/atlanta-magazine-highlights-predpol/,20220930164057,blog,2022,09,30
13,http://www.predpol.com/predpol-adds-industry-veteran-to-roster/,20201111232959,blog,2020,11,11
14,http://www.predpol.com/wall-street-journal-features-predpol-arrests-made-during-ride-along/,20131112131635,blog,2013,11,12
15,http://www.predpol.com/predpol-receives-significant-international-coverage/,20140227194523,blog,2014,02,27
16,http://www.predpol.com/predpol-launches-first-of-its-kind-technology-to-predict-gun-violence/,20130728142337,blog,2013,07,28
17,http://www.predpol.com/national-public-radio-features-seattle-polices-predpol-deployment/,20130921211427,blog,2013,09,21
18,http://www.predpol.com/cbs-atlanta-features-predpol-deployment/,20170911040555,blog,2017,09,11
19,http://www.predpol.com/former-facebook-chief-privacy-officer-joins-predpol-board/,20140320165936,blog,2014,03,20
20,http://www.predpol.com/predictive-policing-showing-early-success-in-kent-england/,20130305064318,blog,2013,03,05
21,http://www.predpol.com/predictive-policing-in-santa-cruz-leads-to-19-percent-drop-in-burglaries/,20131112122158,blog,2013,11,12
22,http://www.predpol.com/santa-clara-newspaper-features-predpol/,20141014205726,blog,2014,10,14
23,http://www.predpol.com/nbc-and-national-science-foundation-feature-predpol/,20161004153145,blog,2016,10,04
24,http://www.predpol.com/predpol-slashes-crime-in-north-kent/,20140320115611,blog,2014,03,20
25,http://www.predpol.com/dr-jeff-brantingham-featured-in-ucla-article-on-predpol/,20141030042908,blog,2014,10,30
26,http://www.predpol.com/norcross-pd-fighting-crime-by-predicting-it-with-predpol/,0000000000,blog,0000,00,00
27,http://www.predpol.com/piedmont-california-civic-organization-highlights-predpol/,20130728141942,blog,2013,07,28
28,http://www.predpol.com/predpol-featured-on-ajams-techknow-show/,20160306062834,blog,2016,03,06
29,http://www.predpol.com/predpol-featured-on-cnn-2/,20131110011619,blog,2013,11,10
30,http://www.predpol.com/alhambra-police-laud-predpol-successes/,20140320163229,blog,2014,03,20
31,http://www.predpol.com/predpol-scores-high-marks-on-security-tests/,0000000000,blog,0000,00,00
32,http://www.predpol.com/digital-magazine-the-ascender-features-predpols-norcross-rollout/,20210923115505,blog,2021,09,23
33,http://www.predpol.com/australian-newspaper-features-predpol/,20210726012433,blog,2021,07,26
34,http://www.predpol.com/predpol-at-iaca-training-conference/,0000000000,blog,0000,00,00
35,http://www.predpol.com/new-york-times-features-predpol-and-seattle-police/,20130728142827,blog,2013,07,28
36,http://www.predpol.com/uk-magazine-features-predpol/,20210923123246,blog,2021,09,23
37,http://www.predpol.com/government-technology-magazine-features-predpol-deployment-in-tacoma/,20141104120150,blog,2014,11,04
38,http://www.predpol.com/columbia-south-carolina-launches-predpol/,20130728142757,blog,2013,07,28
39,http://www.predpol.com/french-media-features-predictive-policing/,20140216141948,blog,2014,02,16
40,http://www.predpol.com/woodland-police-enlist-predictive-policing/,20200714101348,blog,2020,07,14
41,http://www.predpol.com/atlanta-police-chief-george-turner-highlights-predpol-usage/,20140619210455,blog,2014,06,19
42,http://www.predpol.com/whyy-in-philadelphia-highlights-predpol/,20131114022909,blog,2013,11,14
43,http://www.predpol.com/predpol-algorithm-credited-for-reduced-crime/,0000000000,blog,0000,00,00
44,http://www.predpol.com/norcross-police-have-big-first-day-with-predpol/,0000000000,blog,0000,00,00
45,http://www.predpol.com/sacbee-online-predpol-results-in-dramatic-crime-reduction/,20140320121403,blog,2014,03,20
46,http://www.predpol.com/fbi-law-enforcement-magazine-features-predpol/,20210726002658,blog,2021,07,26
47,http://www.predpol.com/tacoma-police-launch-predpol/,20130303013128,blog,2013,03,03
48,http://www.predpol.com/kuam-guam-notes-predpols-role-in-crime-reduction/,0000000000,blog,0000,00,00
49,http://www.predpol.com/predpol-partners-lapd-foothill-records-day-without-crime/,20140320113552,blog,2014,03,20
50,http://www.predpol.com/predpol-featured-on-minnesota-public-radio/,20140317223102,blog,2014,03,17
51,http://www.predpol.com/predictive-policing-leads-to-large-drop-in-burglaries/,20210213184527,blog,2021,02,13
52,http://www.predpol.com/predpol-hires-new-ceo-continues-scaling/,20140320113546,blog,2014,03,20
53,http://www.predpol.com/predpols-predictive-policing-software-featured-in-the-economist/,20130729121913,blog,2013,07,29
54,http://www.predpol.com/predpol-to-join-lapd-at-foothill-crimefighters-conference/,20130304115506,blog,2013,03,04
55,http://www.predpol.com/new-canterbury-chief-police-inspector-welcomes-predpol/,20130728142803,blog,2013,07,28
56,http://www.predpol.com/predpol-featured-on-the-legal-talk-network/,0000000000,blog,0000,00,00
57,http://www.predpol.com/alhambra-polices-success-with-predpol-featured-in-international-newspaper/,20210726011000,blog,2021,07,26
58,http://www.predpol.com/cbs-news-highlights-norcross-predpol-crime-reductions/,20140117142938,blog,2014,01,17
59,http://www.predpol.com/cbsfox-affiliate-features-predpol-gun-violence-prediction-tool/,20210726005018,blog,2021,07,26
60,http://www.predpol.com/lauderhill-florida-pd-predpol-deployment-wsvn/,20140619032052,blog,2014,06,19
61,http://www.predpol.com/the-creation-of-predpol-the-predictive-policing-company/,20150225163343,blog,2015,02,25
62,http://www.predpol.com/thank-you-iaca-crime-analysts/,20210923125523,blog,2021,09,23
63,http://www.predpol.com/predpol-software-featured-on-security-blog/,20130728142352,blog,2013,07,28
64,http://www.predpol.com/san-diego-union-tribune-newspaper-highlights-predpol/,20210726011301,blog,2021,07,26
65,http://www.predpol.com/kmworld-magazines-features-predpol/,20210923105400,blog,2021,09,23
66,http://www.predpol.com/seattle-police-launch-predpol/,20181103003058,blog,2018,11,03
67,http://www.predpol.com/richmond-police-use-predpol-to-prevent-crime/,20140320115725,blog,2014,03,20
68,http://www.predpol.com/santa-cruz-police-join-international-predpol-day-of-action/,0000000000,blog,0000,00,00
69,http://www.predpol.com/lapd-pacific-div-creatively-deploys-predpol/,20140619211527,blog,2014,06,19
70,http://www.predpol.com/milpitas-police-enlist-predpol-to-reduce-crime/,20140320121634,blog,2014,03,20
71,http://www.predpol.com/our-hearts-go-out-to-santa-cruz-police/,20130304194253,blog,2013,03,04
72,http://www.predpol.com/lapd-predicting-crime-with-predpol-kqed-california-report/,20140320120336,blog,2014,03,20
73,http://www.predpol.com/it-world-canada-features-predpol/,20131112121928,blog,2013,11,12
74,http://www.predpol.com/washington-post-highlights-predpol-in-predictive-analytics-story/,20130304120403,blog,2013,03,04
