,url,timestamp,pageType,year,month,day
0,blog.predpol.com/are-you-holding-your-officers-accountable,20190418152832,blog,2019,04,18
1,blog.predpol.com/predpol-partners-lapd-foothill-records-day-without-crime,20201031162523,blog,2020,10,31
2,blog.predpol.com/tag/kennedy-school,20170729002117,tag,2017,07,29
3,blog.predpol.com/reductions-in-crime,20201031160512,blog,2020,10,31
4,blog.predpol.com/law-enforcement-technology-innovation-atlanta,20201031171535,blog,2020,10,31
5,blog.predpol.com/alhambra-police-see-double-digit-crime-declines-with-predpol,20210926004222,blog,2021,09,26
6,blog.predpol.com/page/2,20170726174614,pageList,2017,07,26
7,blog.predpol.com/tag/gwinnett-daily-post,20170726173616,tag,2017,07,26
8,blog.predpol.com/tag/law-enforcement-technology/page/2,20200702141015,pageList,2020,07,02
9,blog.predpol.com/tag/press-coverage/page/2,20200702133833,pageList,2020,07,02
10,blog.predpol.com/tag/privacy,20170726174034,tag,2017,07,26
11,blog.predpol.com/tag/civil-liberties,20181218224407,tag,2018,12,18
12,blog.predpol.com/tag/smart-policing/page/2,20200702131804,pageList,2020,07,02
13,blog.predpol.com/tag/milpitas-police,20170726173631,tag,2017,07,26
14,blog.predpol.com/tag/woodland-california,20170726174929,tag,2017,07,26
15,blog.predpol.com/tag/private-security,20181218224024,tag,2018,12,18
16,blog.predpol.com/tag/chameleon-security,20170726174619,tag,2017,07,26
17,blog.predpol.com/tag/analytics/page/3,20201031164903,pageList,2020,10,31
18,blog.predpol.com/april-feature-spotlight-missions,20210507011909,blog,2021,05,07
19,blog.predpol.com/tag/patrol-operations,20181218224014,tag,2018,12,18
20,blog.predpol.com/predictive-analytics-beyond-policing,20170726111846,blog,2017,07,26
21,blog.predpol.com/predpol-and-community-policing,20200308164813,blog,2020,03,08
22,blog.predpol.com/tag/success-oriented-policing/page/1,20201031170310,pageList,2020,10,31
23,blog.predpol.com/tag/police-chief-ruben-santiago,20170728073101,tag,2017,07,28
24,blog.predpol.com/tag/predictive-policing/page/1,20201031171211,pageList,2020,10,31
25,blog.predpol.com/october-feature-spotlight-crime-audit-report,20191107164224,blog,2019,11,07
26,blog.predpol.com/feature-spotlight-new-patrol-heat-map,20200222174719,blog,2020,02,22
27,blog.predpol.com/tag/zach-friend,20170726174312,tag,2017,07,26
28,blog.predpol.com/august-feature-spotlight-daily-patrols-report,20181028095523,blog,2018,10,28
29,blog.predpol.com/tag/edge360,20170728073221,tag,2017,07,28
30,blog.predpol.com/tag/georgia,20170726174013,tag,2017,07,26
31,blog.predpol.com/tag/nick-omalley,20170726173636,tag,2017,07,26
32,blog.predpol.com/the-5-data-points-that-predpol-uses-from-your-agencys-records-management-system-rms,20181028095843,blog,2018,10,28
33,blog.predpol.com/tag/community-policing/page/1,20210507012238,pageList,2021,05,07
34,blog.predpol.com/tag/dr-george-mohler,20170726173611,tag,2017,07,26
35,blog.predpol.com/so-you-think-you-can-build-your-own-predictive-policing-platform,20181216213051,blog,2018,12,16
36,blog.predpol.com/lapd-pacific-div-creatively-deploys-predpol,20201031171651,blog,2020,10,31
37,blog.predpol.com/tag/km-world,20170726173621,tag,2017,07,26
