,url,timestamp,pageType,year,month,day
0,http://www.predpol.com/predictive-policing-definition/,20150424052949,blog,2015,04,24
1,http://www.predpol.com/predictive-policing-results/,20150822102036,blog,2015,08,22
2,http://www.predpol.com/kent-police-use-predpol-to-prevent-violent-crime/,20210726005531,blog,2021,07,26
3,http://www.predpol.com/5-common-myths-predictive-policing-predpol/,20141015105600,blog,2014,10,15
4,http://www.predpol.com/atlanta-mayor-highlights-predpol-wsj/,20141020113104,blog,2014,10,20
5,http://www.predpol.com/predpol-featured-on-nbc-chicago/,20141104121742,blog,2014,11,04
6,http://www.predpol.com/predpol-atlanta/,20141016060005,blog,2014,10,16
7,http://www.predpol.com/predpol-partner-elgin-police-finalists-iacp-award/,20141015013506,blog,2014,10,15
8,http://www.predpol.com/weve-heard-you/,20150929050603,blog,2015,09,29
9,http://www.predpol.com/predpol-is-not-minority-report/,20141015202943,blog,2014,10,15
10,http://www.predpol.com/law-enforcement-technology-innovation-atlanta/,20141016055909,blog,2014,10,16
11,http://www.predpol.com/crime-displacement-predpol/,20150125102314,blog,2015,01,25
12,http://www.predpol.com/reductions-in-crime/,20141128045753,blog,2014,11,28
13,http://www.predpol.com/predictive-policing-in-modesto/,20141208160503,blog,2014,12,08
14,http://www.predpol.com/carlsbad-police-joins-predpol-family/,20210726013442,blog,2021,07,26
15,http://www.predpol.com/predpol-honored-present-noble-conference/,20141020094247,blog,2014,10,20
16,http://www.predpol.com/predpol-in-reading-pa-results/,20150125213059,blog,2015,01,25
