,urlkey,timestamp,original,mimetype,statuscode,digest,length,year,month,day
0,"com,predpol)/category/santa-cruz-police",20131112205419,http://www.predpol.com:80/category/santa-cruz-police/,text/html,200,GJ4ZEOYOYTLVV4VZX5ONKKS5ZF3Q3YJQ,7154,2013,11,12
1,"com,predpol)/category/santa-cruz-police",20131114024333,http://www.predpol.com:80/category/santa-cruz-police/,text/html,200,GJ4ZEOYOYTLVV4VZX5ONKKS5ZF3Q3YJQ,7217,2013,11,14
2,"com,predpol)/category/santa-cruz-police",20140320121505,http://www.predpol.com:80/category/santa-cruz-police/,text/html,200,IAT56IDILMYYHDUOP75NI5DNXIDPWTYU,7475,2014,03,20
3,"com,predpol)/category/santa-cruz-police",20140619052748,http://www.predpol.com:80/category/santa-cruz-police/,text/html,200,DCSY2DRRUU3U54HMEN77I5GAQVTF5X6A,7014,2014,06,19
4,"com,predpol)/category/santa-cruz-police",20141104173136,http://www.predpol.com:80/category/santa-cruz-police/,text/html,200,BV2EK262LJMZUNU7V6IXRI7FPNGXN3B5,8079,2014,11,04
5,"com,predpol)/category/santa-cruz-police",20150306172315,http://www.predpol.com:80/category/santa-cruz-police/,text/html,200,GXAUTJKTHNT2T2PIIFLESKXJ4UH62RSR,8156,2015,03,06
6,"com,predpol)/category/santa-cruz-police",20170911043120,http://www.predpol.com:80/category/santa-cruz-police/,text/html,200,6K6TQDORTAAAO74JWM7KMTN5V3CLC7LN,7464,2017,09,11
7,"com,predpol)/category/santa-cruz-police",20210726012352,https://www.predpol.com/category/santa-cruz-police/,text/html,200,C752HHNYELNF5FSDRENJF5JXFIAQK5QE,15196,2021,07,26
8,"com,predpol)/category/santa-cruz-police",20211024030344,https://www.predpol.com/category/santa-cruz-police/,text/html,200,OMWOBJZB4CS7BOX2SZ556OSJTMZSGAEY,15195,2021,10,24
9,"com,predpol)/category/santa-cruz-police",20220930161251,https://www.predpol.com/category/santa-cruz-police/,text/html,200,SWD6Z2NQFIES7CQUS3V7Y2YDZKUTLM6R,15627,2022,09,30
10,"com,predpol)/category/santa-cruz-police",20221127111649,http://www.predpol.com/category/santa-cruz-police/,text/html,301,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,353,2022,11,27
11,"com,predpol)/category/santa-cruz-police",20221127111952,https://www.predpol.com/category/santa-cruz-police/,text/html,200,KUFL7HRCQT6J6HN6NKLEYGMZK64RWU3C,11770,2022,11,27
12,"com,predpol)/category/santa-cruz-police",20230129023603,https://www.predpol.com/category/santa-cruz-police/,text/html,200,GXVO5UP7LLS3A4IKVJ3JJLX6CZFQ6LRX,15991,2023,01,29
13,"com,predpol)/category/santa-cruz-police",20230607054254,https://www.predpol.com/category/santa-cruz-police/,text/html,200,QCGI4IFD2CSLPVVMHBJKQXXXZESQQ5DB,16157,2023,06,07
14,"com,predpol)/category/santa-clara-university",20141015111705,http://www.predpol.com:80/category/santa-clara-university/,text/html,200,C4KPJ6HF3Y45TBAVKLHFW377LFZM254M,7511,2014,10,15
15,"com,predpol)/category/santa-clara-university",20210726013315,https://www.predpol.com/category/santa-clara-university/,text/html,200,IANMCWOL2HISE2QYHUSB5H6OIAIDUA2L,14542,2021,07,26
16,"com,predpol)/category/santa-clara-university",20211201220951,https://www.predpol.com/category/santa-clara-university/,text/html,200,7P43V3WBMAMKCLBTTZJ3LRIV3OLJGPU6,15287,2021,12,01
17,"com,predpol)/category/santa-clara-university",20220930162357,https://www.predpol.com/category/santa-clara-university/,text/html,200,VWVWZFLGZGC4TZIO32MLH5RMNXAV7S37,14961,2022,09,30
18,"com,predpol)/category/santa-clara-university",20230929235549,https://www.predpol.com/category/santa-clara-university/,text/html,200,LXXOZPM43AO2Z5HGSHRGD4R5ZVEYPRFR,15960,2023,09,29
19,"com,predpol)/thank",20141013204442,http://www.predpol.com:80/thank/,text/html,200,OZL34IICDKDEM3FZ2LDFA3C2OQPIKTUF,6803,2014,10,13
20,"com,predpol)/thank",20141217010513,http://www.predpol.com:80/thank/,text/html,200,6IZQXLGHDBPRAWEKXUQ6CMSKMGVOAUXH,7240,2014,12,17
21,"com,predpol)/thank",20150228121225,http://www.predpol.com:80/thank/,text/html,200,R7Q33JBNB64R7THHOBWVBVTLDYDMOWVO,7264,2015,02,28
22,"com,predpol)/thank",20150430000304,http://www.predpol.com:80/thank/,text/html,200,7BZXKFAM5TBGFZR2LKU6NYK5ICDJDZO6,7969,2015,04,30
23,"com,predpol)/thank",20150821083138,http://www.predpol.com:80/thank/,text/html,200,IVQPTJGDJTNIPV5IQKCLDIUWVAMTXP76,8207,2015,08,21
24,"com,predpol)/thank",20151020233915,http://www.predpol.com:80/thank/,text/html,200,B6PT7ZMCKQDRFHPEJKEN4JB7FBTZT3UH,8209,2015,10,20
25,"com,predpol)/thank",20151220151300,http://www.predpol.com:80/thank/,text/html,200,MRPJ6ON5XAPBGK4DUHLNPKMNUGVSKI7T,8318,2015,12,20
26,"com,predpol)/thank",20160109104916,http://www.predpol.com:80/thank,text/html,301,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,303,2016,01,09
27,"com,predpol)/thank",20160109104916,http://www.predpol.com:80/thank/,text/html,200,MGNNEMUJHHT3VDYLTFYVFG5XFAIQ3NJS,8236,2016,01,09
